cve_id,primary_urls,secondary_urls,dead_links,ignored_links,failed_links,has_combined,has_refined
CVE-2022-47483,1,0,0,0,0,True,False
CVE-2022-24780,6,0,0,0,0,True,False
CVE-2022-20255,1,0,0,0,0,True,False
CVE-2022-23040,2,0,0,0,0,True,False
CVE-2022-24784,3,0,0,0,0,True,False
CVE-2021-21751,1,0,0,0,0,True,False
CVE-2022-25640,1,0,0,0,0,True,False
CVE-2021-1906,1,0,0,0,0,True,False
CVE-2022-24861,3,0,0,0,0,True,False
CVE-2022-31623,5,0,0,0,0,True,False
CVE-2021-25516,1,0,0,0,0,True,False
CVE-2022-38670,1,0,0,0,0,True,False
CVE-2022-39289,2,0,0,0,0,True,False
CVE-2022-30616,2,0,0,0,0,True,False
CVE-2022-39327,3,0,0,0,0,True,False
CVE-2022-29850,3,0,0,0,0,True,False
CVE-2022-23523,2,0,0,0,0,True,False
CVE-2022-30164,2,0,0,0,0,True,False
CVE-2022-40621,1,0,0,0,0,True,False
CVE-2021-25735,2,0,0,0,0,True,False
CVE-2022-21653,2,0,0,0,0,True,False
CVE-2022-35467,1,0,0,0,0,True,False
CVE-2022-25906,2,0,0,0,0,True,False
CVE-2022-4353,2,0,0,0,0,True,False
CVE-2022-35489,1,0,0,0,0,True,False
CVE-2022-35777,1,0,0,0,0,True,False
CVE-2021-33330,2,0,0,0,0,True,False
CVE-2022-20924,1,0,0,0,0,True,False
CVE-2022-31070,2,0,0,0,0,True,True
CVE-2022-20852,1,0,0,0,0,True,True
